median11, ssc_name, ssc2011
33921.33333,"Burrangong",10400
26551.57143,"Burrill Lake",10404
23865.72429,"Cabramatta West",10422
48770.22222,"Cabramurra",10423
20190.85714,"Caffreys Flat",10424
43281.33333,"Calala",10425
28028.0,"Calarie",10426
29881.33333,"Burringbar",10405
37724.47059,"Burroway",10406
34119.42857,"Burrumbuttock",10407
35481.33333,"Burrundulla",10408
47903.55556,"Calderwood",10427
26748.0,"Calimo",10428
34812.7619,"Burwood (NSW)",10409
43675.27273,"Burwood Heights",10410
23934.38298,"Busby",10411
66831.17757,"Cabarita (NSW)",10419
17202.54545,"Cabbage Tree Island (Ballina - NSW)",10420
20296.46527,"Cabramatta",10421
6898.666667,"Callaghan",10429
28878.90909,"Callala Beach",10431
44280.20339,"Cambewarra Village",10435
31703.72519,"Callala Bay",10430
41760.2449,"Cambridge Gardens",10436
42812.86486,"Redbanks",40611
21518.37037,"Calliope (NSW)",10432
38659.11111,"Camberwell (NSW)",10433
35048.0,"Cambewarra",10434
61083.13514,"Camden Park (NSW)",10440
38809.33333,"Cambridge Park",10437
46953.94059,"Camden",10438
26988.0,"Camden Head",10439
48118.54264,"Camden South",10441
46892.0,"Cameron Park",10442
72393.45455,"Cammeray",10443
36146.56528,"Campbelltown (NSW)",10444
67952.60405,"Camperdown (NSW)",10445
54385.5,"Canada Bay",10447
28411.15789,"Candelo",10448
18798.0,"Cangai",10449
42921.58491,"Caniaba",10450
36348.0,"Reynella East",40621
27058.27825,"Campsie",10446
70361.18328,"Crows Nest (NSW)",10649
23697.6136,"Canley Heights",10451
22192.44444,"Canley Vale",10452
45148.0,"Canobolas",10453
38711.63636,"Canoelands",10454
28192.21053,"Canowindra",10455
37443.34368,"Canterbury (NSW)",10456
38341.53349,"Cardiff (NSW)",10463
42848.0,"Alfredton",20011
40359.42857,"Allansford",20012
48698.0,"Cardiff Heights",10464
38000.54237,"Cardiff South",10465
42703.55556,"Allendale",20013
38532.0,"Carey Bay",10466
37359.11111,"Cargo",10467
36074.31579,"Carinda",10468
49358.33113,"Caringbah",10469
54068.4918,"Caringbah South",10470
44410.70066,"Carlingford",10471
38741.88039,"Carlton (NSW)",10472
39302.54545,"Carrington (Newcastle - NSW)",10477
9935.051643,"Ramingining",70161
27348.0,"Carool",10473
20170.22222,"Caroona",10474
24724.47059,"Carramar (NSW)",10475
32881.33333,"Carrathool",10476
32014.66667,"Carrs Creek",10479
40115.74194,"Hamlyn Heights",20588
46548.0,"Carss Park",10480
28331.33333,"Catalina",10494
32115.44186,"Catherine Field",10495
43808.86957,"Catherine Hill Bay",10496
24908.0,"Hazeldene",20605
20069.73913,"Cartwright",10481
37973.0,"Hazelwood",20606
29368.50599,"Casino",10484
23781.33333,"Cassilis (NSW)",10485
41176.57143,"Castlereagh",10491
42848.0,"Casuarina (NSW)",10492
37451.48837,"Casula",10493
77793.2381,"Glenden",30661
46960.2449,"Cattai",10497
39404.14035,"Caves Beach",10498
40825.77778,"Moorooduc",20920
41894.66667,"Cawdor (NSW)",10499
38619.08434,"Girraween (NSW)",10950
23348.0,"Cawongla",10500
57180.40469,"Gladesville",10951
40923.85974,"Mooroolbark",20921
40503.69358,"Cecil Hills",10501
43363.09434,"Cecil Park",10502
27161.33333,"Cedar Party",10503
28618.27027,"Gladstone (NSW)",10952
30087.80583,"Mortlake (Vic.)",20928
28022.28571,"Morwell",20929
67194.91358,"Centennial Park (NSW)",10504
38679.03448,"Central Mangrove",10505
24305.89474,"Central Tilba",10506
30408.52332,"Cessnock",10507
26338.0,"Crabbes Creek",10633
29015.41573,"Chain Valley Bay",10508
18620.72727,"Charbon",10509
5174.0,"Charles Sturt University",10510
42801.80711,"Glenfield Park",10965
57105.18563,"Glenhaven",10966
32524.47059,"Gleniffer",10967
45216.88889,"Charlestown (NSW)",10511
27414.66667,"Bute",40084
33253.52147,"Charmhaven",10512
68198.0,"Chatswood West",10514
22048.0,"Chatsworth (NSW)",10515
49735.01299,"Chatswood",10513
26890.5,"Jesmond",11180
69491.01075,"Cheltenham (NSW)",10516
56455.84519,"Cherrybrook",10517
39905.89474,"Chilcotts Grass",10520
34129.33333,"Heathcote Junction",20612
28941.72442,"Chester Hill",10518
42686.46154,"Chifley (NSW)",10519
38702.71698,"Hilton (SA)",40297
26294.66667,"Chillingham",10521
50045.02128,"Chippendale",10523
18088.90909,"Coomba Park",10601
20346.52941,"Chinderah",10522
28678.0,"Coomealla",10602
27523.10373,"Coonabarabran",10603
30773.42373,"Coonamble",10604
33170.22222,"Cooperabung",10605
24748.0,"Coopernook",10606
33844.2963,"Coopers Gully",10607
29900.0,"Coopers Shoot",10608
31414.66667,"Coorabell",10609
34492.39834,"Cooranbong",10610
31889.36546,"Cootamundra",10611
43328.10118,"Chipping Norton",10524
60181.33333,"Chisholm (NSW)",10525
19369.21212,"Claymore",10536
27548.0,"Cooyal",10612
69601.84615,"Chiswick",10526
35481.33333,"Chittaway Bay",10527
37016.57143,"Chittaway Point",10528
60291.28358,"Church Point",10529
28114.66667,"Clandulla",10530
36719.42857,"Clemton Park",10537
26359.88119,"Coraki",10615
44985.28814,"Claremont Meadows",10531
46401.33333,"Clarence",10532
36443.41284,"Clarence Town",10533
29879.70732,"Clybucca",10544
33160.90323,"Corbie Hill",10618
35414.66667,"Osborne (SA)",40530
35166.18182,"Clarendon (NSW)",10534
34335.09677,"Clarenza",10535
55421.54497,"Tiwi",70186
25002.54545,"Cliftleigh",10538
